id,date,desc,details
251,2010/03/01,"I talked to Layla, Avery, Piper, Claire for 33 minutes in the late afternoon.","I talked to Layla, Avery, Piper, Claire for 33 minutes in the late afternoon."
252,2010/03/01,I spent 39 minutes watching a movie on TV today.,I spent 39 minutes watching a movie on TV today.
253,2010/03/02,"I had lunch with Benjamin, Avery. I ate sandwich.","I had lunch with Benjamin, Avery. I ate sandwich."
254,2010/03/02,I spent 16 minutes watching a documentary on TV today.,I spent 16 minutes watching a documentary on TV today.
255,2010/03/03,I did biking on 2010/03/03.,I did biking on 2010/03/03.
256,2010/03/03,"I had lunch with Emily, Carter. I ate sushi.","I had lunch with Emily, Carter. I ate sushi."
257,2010/03/03,I spent 10 minutes reading a book today.,I spent 10 minutes reading a book today.
258,2010/03/03,I spent 18 minutes watching a movie on TV today.,I spent 18 minutes watching a movie on TV today.
259,2010/03/04,I spent time learning a language on 2010/03/04 with Avery.,I spent time learning a language on 2010/03/04 with Avery.
260,2010/03/04,I did hiking on 2010/03/04.,I did hiking on 2010/03/04.
261,2010/03/04,"I had peanut-butter-jam for breakfast with Kayden, Carter, Andrew","I had peanut-butter-jam for breakfast with Kayden, Carter, Andrew"
262,2010/03/04,"I had indian food for lunch with Kayden, Andrew, Emily, Carter","I had indian food for lunch with Kayden, Andrew, Emily, Carter"
263,2010/03/04,I talked to Eva for 43 minutes late in the evening.,I talked to Eva for 43 minutes late in the evening.
264,2010/03/04,I spent 25 minutes on social media today.,I spent 25 minutes on social media today.
265,2010/03/05,I spent some time learning a language on 2010/03/05.,I spent some time learning a language on 2010/03/05.
266,2010/03/05,I did hiking on 2010/03/05.,I did hiking on 2010/03/05.
267,2010/03/05,"I had breakfast with Nevaeh, Layla, Piper, Kinsley, Olivia, Eva, Avery, Lydia, Claire. I ate peanut-butter-jam.","I had breakfast with Nevaeh, Layla, Piper, Kinsley, Olivia, Eva, Avery, Lydia, Claire. I ate peanut-butter-jam."
268,2010/03/05,"I spent 44 talking to Piper, Nevaeh, Kinsley, Avery on various topics in the late afternoon.","I spent 44 talking to Piper, Nevaeh, Kinsley, Avery on various topics in the late afternoon."
269,2010/03/05,I spent 30 minutes reading social media today.,I spent 30 minutes reading social media today.
270,2010/03/06,I had pancakes for breakfast with Benjamin,I had pancakes for breakfast with Benjamin
271,2010/03/06,I had lunch. I ate chinese food.,I had lunch. I ate chinese food.
272,2010/03/06,"I had indian food for dinner with Piper, Lydia, Rylee, Layla, Olivia, Avery","I had indian food for dinner with Piper, Lydia, Rylee, Layla, Olivia, Avery"
273,2010/03/06,I talked to Hazel for 6 minutes in the early evening.,I talked to Hazel for 6 minutes in the early evening.
274,2010/03/06,I spent 36 minutes on news today.,I spent 36 minutes on news today.
275,2010/03/07,I prepare pancakes for breakfast.,I prepare pancakes for breakfast.
276,2010/03/07,"I had a burger for dinner with Avery, Rylee, Nevaeh, Piper, Nora, Hazel","I had a burger for dinner with Avery, Rylee, Nevaeh, Piper, Nora, Hazel"
277,2010/03/07,"I spent 55 talking to Nevaeh, Claire on various topics late in the evening.","I spent 55 talking to Nevaeh, Claire on various topics late in the evening."
278,2010/03/07,I spent 50 minutes reading social media today.,I spent 50 minutes reading social media today.
279,2010/03/08,I did HIIT on 2010/03/08.,I did HIIT on 2010/03/08.
280,2010/03/08,I had lunch. I ate indian food.,I had lunch. I ate indian food.
281,2010/03/08,I prepare chinese food for dinner.,I prepare chinese food for dinner.
282,2010/03/08,"I spent 22 talking to Piper, Olivia, Nevaeh, Claire on various topics late in the evening.","I spent 22 talking to Piper, Olivia, Nevaeh, Claire on various topics late in the evening."
283,2010/03/08,I spent 16 minutes reading social media today.,I spent 16 minutes reading social media today.
284,2010/03/09,"I spent 47 talking to Nevaeh, Lydia on various topics during lunch hours.","I spent 47 talking to Nevaeh, Lydia on various topics during lunch hours."
285,2010/03/09,I watched a movie for 50 minutes on TV today.,I watched a movie for 50 minutes on TV today.
286,2010/03/10,"I bought some oranges, apples, blueberries, tea, mineral water, paper towel, toothpaste, facial wash, mouth wash online.","I bought some oranges, apples, blueberries, tea, mineral water, paper towel, toothpaste, facial wash, mouth wash online."
287,2010/03/10,I prepare pancakes for breakfast.,I prepare pancakes for breakfast.
288,2010/03/10,I prepare tacos for dinner.,I prepare tacos for dinner.
289,2010/03/10,"I talked to Claire, Layla, Piper, Hazel for 40 minutes in the late afternoon.","I talked to Claire, Layla, Piper, Hazel for 40 minutes in the late afternoon."
290,2010/03/10,"I spent 18 talking to Nevaeh, Claire, Olivia on various topics in the late afternoon.","I spent 18 talking to Nevaeh, Claire, Olivia on various topics in the late afternoon."
291,2010/03/10,I spent 43 minutes reading a book today.,I spent 43 minutes reading a book today.
292,2010/03/10,I watched a tv series for 42 minutes on TV today.,I watched a tv series for 42 minutes on TV today.
293,2010/03/11,I really enjoyed gardening on 2010/03/11,I really enjoyed gardening on 2010/03/11
294,2010/03/11,I did running on 2010/03/11.,I did running on 2010/03/11.
295,2010/03/11,"I had toast and cheese for breakfast with Kayden, Emily, Carter, Andrew","I had toast and cheese for breakfast with Kayden, Emily, Carter, Andrew"
296,2010/03/11,I ate chinese food for lunch.,I ate chinese food for lunch.
297,2010/03/11,"I had fish and chips for dinner with Kayden, Emily","I had fish and chips for dinner with Kayden, Emily"
298,2010/03/11,"I talked to Olivia, Kinsley for 13 minutes in the late afternoon.","I talked to Olivia, Kinsley for 13 minutes in the late afternoon."
299,2010/03/11,"I spent 44 talking to Kinsley, Piper, Avery on various topics in the morning.","I spent 44 talking to Kinsley, Piper, Avery on various topics in the morning."
300,2010/03/11,I spent 37 minutes on social media today.,I spent 37 minutes on social media today.
301,2010/03/11,I spent 50 minutes watching a documentary on TV today.,I spent 50 minutes watching a documentary on TV today.
302,2010/03/12,I prepare fish and chips for lunch.,I prepare fish and chips for lunch.
303,2010/03/12,"I had a burger for dinner with Lydia, Olivia, Rylee, Piper, Avery, Claire, Nora","I had a burger for dinner with Lydia, Olivia, Rylee, Piper, Avery, Claire, Nora"
304,2010/03/12,"I spent 50 talking to Hazel, Avery, Kinsley on various topics during lunch hours.","I spent 50 talking to Hazel, Avery, Kinsley on various topics during lunch hours."
305,2010/03/12,I spent 7 minutes on social media today.,I spent 7 minutes on social media today.
306,2010/03/12,I spent 32 minutes watching a movie on TV today.,I spent 32 minutes watching a movie on TV today.
307,2010/03/13,I spent 49 talking to Avery on various topics in the early evening.,I spent 49 talking to Avery on various topics in the early evening.
308,2010/03/13,I spent 9 minutes watching a documentary on TV today.,I spent 9 minutes watching a documentary on TV today.
309,2010/03/14,I spent some time learning a language on 2010/03/14.,I spent some time learning a language on 2010/03/14.
310,2010/03/14,I did hiking on 2010/03/14.,I did hiking on 2010/03/14.
311,2010/03/14,"I had lunch with Carter, Andrew, Emily, Kayden. I ate indian food.","I had lunch with Carter, Andrew, Emily, Kayden. I ate indian food."
312,2010/03/14,I spent 29 talking to Claire on various topics in the early afternoon.,I spent 29 talking to Claire on various topics in the early afternoon.
313,2010/03/14,I talked to Eva for 54 minutes in the early afternoon.,I talked to Eva for 54 minutes in the early afternoon.
314,2010/03/14,I spent 6 minutes on news today.,I spent 6 minutes on news today.
315,2010/03/15,"On 2010/03/15, I took Lydia on a date to a boba shop","On 2010/03/15, I took Lydia on a date to a boba shop"
316,2010/03/15,"I went grocery shopping. I bought some nectarines, sports drinks, and body lotion, mouth wash, mouthwash, toilet paper","I went grocery shopping. I bought some nectarines, sports drinks, and body lotion, mouth wash, mouthwash, toilet paper"
317,2010/03/15,I did running on 2010/03/15.,I did running on 2010/03/15.
318,2010/03/15,"I had breakfast with Carter, Andrew. I ate oatmeal.","I had breakfast with Carter, Andrew. I ate oatmeal."
319,2010/03/15,"I talked to Eva, Hazel, Lydia for 20 minutes late in the evening.","I talked to Eva, Hazel, Lydia for 20 minutes late in the evening."
320,2010/03/15,I spent 33 minutes watching a tv series on TV today.,I spent 33 minutes watching a tv series on TV today.
321,2010/03/17,"I had breakfast. I ate eggs, sausages, and bread.","I had breakfast. I ate eggs, sausages, and bread."
322,2010/03/17,"I talked to Piper, Kinsley, Layla, Eva for 15 minutes during lunch hours.","I talked to Piper, Kinsley, Layla, Eva for 15 minutes during lunch hours."
323,2010/03/17,"I spent 12 talking to Avery, Rylee, Lydia, Kinsley on various topics during lunch hours.","I spent 12 talking to Avery, Rylee, Lydia, Kinsley on various topics during lunch hours."
324,2010/03/17,I watched a movie for 7 minutes on TV today.,I watched a movie for 7 minutes on TV today.
325,2010/03/18,I did HIIT on 2010/03/18.,I did HIIT on 2010/03/18.
326,2010/03/18,"I had lunch with Emily, Andrew, Kayden, Carter. I ate steak.","I had lunch with Emily, Andrew, Kayden, Carter. I ate steak."
327,2010/03/19,I did running on 2010/03/19.,I did running on 2010/03/19.
328,2010/03/19,"I had steak for dinner with Eva, Hazel, Kinsley, Nora, Layla, Piper, Piper, Claire, Olivia, Nevaeh","I had steak for dinner with Eva, Hazel, Kinsley, Nora, Layla, Piper, Piper, Claire, Olivia, Nevaeh"
329,2010/03/19,I spent 51 talking to Hazel on various topics in the early evening.,I spent 51 talking to Hazel on various topics in the early evening.
330,2010/03/19,"I spent 36 talking to Olivia, Kinsley, Claire, Rylee on various topics in the early evening.","I spent 36 talking to Olivia, Kinsley, Claire, Rylee on various topics in the early evening."
331,2010/03/19,I spent 10 minutes watching a movie on TV today.,I spent 10 minutes watching a movie on TV today.
332,2010/03/20,"I had eggs, sausages, and bread for breakfast with Emily","I had eggs, sausages, and bread for breakfast with Emily"
333,2010/03/20,I prepare a burger for lunch.,I prepare a burger for lunch.
334,2010/03/20,I had dinner. I ate fish and chips.,I had dinner. I ate fish and chips.
335,2010/03/20,I spent 38 minutes on news today.,I spent 38 minutes on news today.
336,2010/03/20,I spent 50 minutes watching a movie on TV today.,I spent 50 minutes watching a movie on TV today.
337,2010/03/21,I had breakfast. I ate cereals.,I had breakfast. I ate cereals.
338,2010/03/21,I ate chinese food for lunch.,I ate chinese food for lunch.
339,2010/03/21,I spent 26 talking to Kinsley on various topics in the late afternoon.,I spent 26 talking to Kinsley on various topics in the late afternoon.
340,2010/03/21,"I talked to Kinsley, Layla, Lydia, Hazel for 33 minutes during lunch hours.","I talked to Kinsley, Layla, Lydia, Hazel for 33 minutes during lunch hours."
341,2010/03/22,I did biking on 2010/03/22.,I did biking on 2010/03/22.
342,2010/03/22,"I had sushi for lunch with Benjamin, Avery, Willow","I had sushi for lunch with Benjamin, Avery, Willow"
343,2010/03/22,I had dinner. I ate pasta.,I had dinner. I ate pasta.
344,2010/03/22,I talked to Layla for 7 minutes during lunch hours.,I talked to Layla for 7 minutes during lunch hours.
345,2010/03/22,"I spent 20 talking to Avery, Hazel, Nevaeh, Piper on various topics in the early evening.","I spent 20 talking to Avery, Hazel, Nevaeh, Piper on various topics in the early evening."
346,2010/03/22,I spent 14 minutes on social media today.,I spent 14 minutes on social media today.
347,2010/03/23,I did hiking on 2010/03/23.,I did hiking on 2010/03/23.
348,2010/03/23,I ate pancakes for breakfast.,I ate pancakes for breakfast.
349,2010/03/23,"I talked to Kinsley, Piper for 54 minutes in the morning.","I talked to Kinsley, Piper for 54 minutes in the morning."
350,2010/03/23,I talked to Piper for 49 minutes in the early afternoon.,I talked to Piper for 49 minutes in the early afternoon.
351,2010/03/23,I spent 37 minutes on news today.,I spent 37 minutes on news today.
352,2010/03/23,I spent 52 minutes watching a tv series on TV today.,I spent 52 minutes watching a tv series on TV today.
353,2010/03/24,"I bought some blueberries, pineapples, apples, watermelons, mineral water, tea, toilet paper, mouth wash, facial wash from the grocery store. I saw Carter, Kayden, Andrew, Emily at the grocery store.","I bought some blueberries, pineapples, apples, watermelons, mineral water, tea, toilet paper, mouth wash, facial wash from the grocery store. I saw Carter, Kayden, Andrew, Emily at the grocery store."
354,2010/03/24,I ate fish and chips for lunch.,I ate fish and chips for lunch.
355,2010/03/24,I had dinner. I ate chinese food.,I had dinner. I ate chinese food.
356,2010/03/24,"I spent 36 talking to Claire, Nevaeh, Hazel on various topics in the early evening.","I spent 36 talking to Claire, Nevaeh, Hazel on various topics in the early evening."
357,2010/03/24,"I talked to Kinsley, Olivia, Piper, Nora for 24 minutes in the late afternoon.","I talked to Kinsley, Olivia, Piper, Nora for 24 minutes in the late afternoon."
358,2010/03/24,I spent 43 minutes reading a book today.,I spent 43 minutes reading a book today.
359,2010/03/24,I watched a tv series for 12 minutes on TV today.,I watched a tv series for 12 minutes on TV today.
360,2010/03/25,"On 2010/03/25, I took Dominic on a date to a boba shop","On 2010/03/25, I took Dominic on a date to a boba shop"
361,2010/03/25,"I spent 34 talking to Kinsley, Avery, Lydia, Claire on various topics late in the evening.","I spent 34 talking to Kinsley, Avery, Lydia, Claire on various topics late in the evening."
362,2010/03/25,I spent 49 talking to Layla on various topics in the late afternoon.,I spent 49 talking to Layla on various topics in the late afternoon.
363,2010/03/25,I spent 9 minutes on a book today.,I spent 9 minutes on a book today.
364,2010/03/26,I did running on 2010/03/26.,I did running on 2010/03/26.
365,2010/03/26,I had a burger for dinner with Emily,I had a burger for dinner with Emily
366,2010/03/26,"I spent 20 talking to Layla, Rylee, Piper on various topics in the early evening.","I spent 20 talking to Layla, Rylee, Piper on various topics in the early evening."
